,feature,importance
116,TPDISEC6_nan,0.0
107,TPDISEC3_nan,0.0
59,IND_VDRL_nan,0.0
57,DIAG_PRINC_nan,0.0
70,INSTRU_nan,0.0
110,TPDISEC4_nan,0.0
34,PROC_SOLIC_nan,0.0
65,CAR_INT_nan,0.0
96,CONTRACEP2_nan,0.0
98,GESTRISCO_nan,0.0
83,CONTRACEP1_nan,0.0
101,TPDISEC1_nan,0.0
113,TPDISEC5_nan,0.0
104,TPDISEC2_nan,0.0
4,SEXO_nan,0.0
62,CAR_INT_4.0,4.466069845961505e-08
88,CONTRACEP2_5.0,4.557031308298435e-08
73,CONTRACEP1_3.0,5.652936356570922e-08
87,CONTRACEP2_4.0,6.412328927369666e-08
72,CONTRACEP1_2.0,8.684098947306523e-08
85,CONTRACEP2_2.0,8.706435649688398e-08
54,DIAG_PRINC_U,1.1474664303894425e-07
75,CONTRACEP1_5.0,1.2531468813351461e-07
77,CONTRACEP1_7.0,1.3969435614720914e-07
74,CONTRACEP1_4.0,1.4303916555800006e-07
79,CONTRACEP1_9.0,1.5442169173892205e-07
92,CONTRACEP2_9.0,1.6213390415887684e-07
90,CONTRACEP2_7.0,3.464905428866874e-07
61,CAR_INT_3.0,3.783228794811385e-07
86,CONTRACEP2_3.0,4.232173689295643e-07
89,CONTRACEP2_6.0,5.275456918438418e-07
84,CONTRACEP2_1.0,9.30624936679436e-07
29,PROC_SOLIC_501,2.0184644988994296e-06
95,CONTRACEP2_12.0,3.0031660445341063e-06
82,CONTRACEP1_12.0,3.2083010284686673e-06
31,PROC_SOLIC_504,3.5383956421710134e-06
71,CONTRACEP1_1.0,4.235535371937742e-06
76,CONTRACEP1_6.0,4.561181701524495e-06
66,INSTRU_1.0,4.650280611925663e-06
81,CONTRACEP1_11.0,1.0461377634991139e-05
94,CONTRACEP2_11.0,1.1715971216033009e-05
69,INSTRU_4.0,1.5595086819808855e-05
5,PROC_SOLIC_209,1.8147737969180215e-05
97,GESTRISCO_1.0,2.281783953448916e-05
55,DIAG_PRINC_Y,2.993800465538551e-05
91,CONTRACEP2_8.0,8.37680020055789e-05
14,PROC_SOLIC_402,9.517446671078351e-05
93,CONTRACEP2_10.0,0.00012332788132859635
25,PROC_SOLIC_413,0.0001783908160173203
80,CONTRACEP1_10.0,0.0003233056804855667
115,TPDISEC6_2.0,0.00037514260376173106
68,INSTRU_3.0,0.00040152869033702356
114,TPDISEC6_1.0,0.00041264125716402553
67,INSTRU_2.0,0.0004148180748985098
22,PROC_SOLIC_410,0.0004384586117609011
64,CAR_INT_6.0,0.0005451896086569087
63,CAR_INT_5.0,0.0005665250289514448
112,TPDISEC5_2.0,0.0006352279861498743
46,DIAG_PRINC_M,0.0007851211788864425
26,PROC_SOLIC_414,0.0008102117642877315
78,CONTRACEP1_8.0,0.0008555398571719687
45,DIAG_PRINC_L,0.0010006991028493836
50,DIAG_PRINC_Q,0.0010369237633814476
24,PROC_SOLIC_412,0.0010452470590901497
30,PROC_SOLIC_503,0.0010483794376974593
6,PROC_SOLIC_211,0.0010974772763942113
111,TPDISEC5_1.0,0.0011389071872691925
53,DIAG_PRINC_T,0.00124608027536448
51,DIAG_PRINC_R,0.0012696139884448038
109,TPDISEC4_2.0,0.0013974908533875437
37,DIAG_PRINC_D,0.0014728375151940528
11,PROC_SOLIC_308,0.0015977048777466526
28,PROC_SOLIC_416,0.0016725511137797187
32,PROC_SOLIC_505,0.001834497784267086
9,PROC_SOLIC_304,0.0020211108028312737
27,PROC_SOLIC_415,0.0020609675251750973
106,TPDISEC3_2.0,0.0021605687411612854
100,TPDISEC1_2.0,0.002298116975140221
10,PROC_SOLIC_305,0.0023890816016065818
38,DIAG_PRINC_E,0.0024714394487786295
103,TPDISEC2_2.0,0.0024935708842167103
36,DIAG_PRINC_C,0.002785208973366241
33,PROC_SOLIC_506,0.0028682952432120025
16,PROC_SOLIC_404,0.0031937961898342525
18,PROC_SOLIC_406,0.003406753400986288
108,TPDISEC4_1.0,0.003546473821771568
20,PROC_SOLIC_408,0.0043103540022579115
23,PROC_SOLIC_411,0.004378627113836846
35,DIAG_PRINC_B,0.004821323050878813
13,PROC_SOLIC_401,0.00523216612364785
19,PROC_SOLIC_407,0.005236723459856058
49,DIAG_PRINC_P,0.005461410801409139
52,DIAG_PRINC_S,0.005500294276897378
56,DIAG_PRINC_Z,0.005683840124837686
15,PROC_SOLIC_403,0.0057529728111324644
17,PROC_SOLIC_405,0.005806820842921482
105,TPDISEC3_1.0,0.006753271975216113
47,DIAG_PRINC_N,0.007248259098125181
43,DIAG_PRINC_J,0.007637046485664155
42,DIAG_PRINC_I,0.008074773014061473
12,PROC_SOLIC_310,0.008141731855995033
41,DIAG_PRINC_H,0.008335942327935664
99,TPDISEC1_1.0,0.008744037318014607
102,TPDISEC2_1.0,0.009885078956907
3,SEXO_3.0,0.010359380057357023
21,PROC_SOLIC_409,0.011588067967492417
44,DIAG_PRINC_K,0.01176497208982004
58,IND_VDRL_1.0,0.013834956032024958
7,PROC_SOLIC_301,0.016751401677589133
48,DIAG_PRINC_O,0.03390589706862297
0,IDADE,0.03392047652291041
1,IDADE_2,0.04069888935302418
40,DIAG_PRINC_G,0.04890069355543916
60,CAR_INT_2.0,0.08767948110823644
2,IND_UTI,0.14640709219867643
8,PROC_SOLIC_303,0.18041976049252584
39,DIAG_PRINC_F,0.1910283712015572
