,feature,importance
0,IDADE,0.25545129270121025
1,IDADE_2,0.002207104105771399
2,IND_UTI,42.081678345168136
3,SEXO_3.0,-2.3642989498191227
4,SEXO_nan,0.0
5,PROC_SOLIC_209,0.0
6,PROC_SOLIC_211,-7.524863847282668
7,PROC_SOLIC_301,-4.502863290112986
8,PROC_SOLIC_303,23.649169072327087
9,PROC_SOLIC_304,6.498219727165755
10,PROC_SOLIC_305,9.215341776075942
11,PROC_SOLIC_308,0.39565588566637816
12,PROC_SOLIC_310,3.4324083062142208
13,PROC_SOLIC_401,-5.779235309365523
14,PROC_SOLIC_402,-0.034070361828151756
15,PROC_SOLIC_403,-1.8984828615134042
16,PROC_SOLIC_404,-1.5344843513428814
17,PROC_SOLIC_405,-3.5761895129587575
18,PROC_SOLIC_406,-3.016861540273829
19,PROC_SOLIC_407,0.8649701034532982
20,PROC_SOLIC_408,0.2061351583018429
21,PROC_SOLIC_409,-1.935790381376945
22,PROC_SOLIC_410,-0.5695166161107759
23,PROC_SOLIC_411,3.3294200162705336
24,PROC_SOLIC_412,5.115841268614296
25,PROC_SOLIC_413,0.0
26,PROC_SOLIC_414,-4.869399901445426
27,PROC_SOLIC_415,1.71897772102395
28,PROC_SOLIC_416,-2.131897194536746
29,PROC_SOLIC_501,0.0
30,PROC_SOLIC_503,-2.0967936793709154
31,PROC_SOLIC_504,-0.0
32,PROC_SOLIC_505,6.091753788610641
33,PROC_SOLIC_506,12.455358804500182
34,PROC_SOLIC_nan,0.0
35,DIAG_PRINC_B,10.700035334358843
36,DIAG_PRINC_C,-0.9179690937880819
37,DIAG_PRINC_D,-2.3351642514630107
38,DIAG_PRINC_E,-3.659391183525247
39,DIAG_PRINC_F,69.22139508879246
40,DIAG_PRINC_G,28.844257974642264
41,DIAG_PRINC_H,-6.987423770389979
42,DIAG_PRINC_I,-3.369318504365462
43,DIAG_PRINC_J,-2.6653213504354625
44,DIAG_PRINC_K,-4.86419575101579
45,DIAG_PRINC_L,-0.2711373621886967
46,DIAG_PRINC_M,-0.7552825292577762
47,DIAG_PRINC_N,-4.076413416886576
48,DIAG_PRINC_O,-6.386188628394864
49,DIAG_PRINC_P,3.7707902631284687
50,DIAG_PRINC_Q,-0.1925150235843106
51,DIAG_PRINC_R,-1.3843892130341964
52,DIAG_PRINC_S,-0.9574913170093275
53,DIAG_PRINC_T,1.5650240384126104
54,DIAG_PRINC_U,-0.0
55,DIAG_PRINC_Y,0.0
56,DIAG_PRINC_Z,-5.129563179620185
57,DIAG_PRINC_nan,0.0
58,IND_VDRL_1.0,1.0932231461545607
59,IND_VDRL_nan,0.0
60,CAR_INT_2.0,-1.586970948314958
61,CAR_INT_3.0,0.0
62,CAR_INT_4.0,-0.0
63,CAR_INT_5.0,0.0
64,CAR_INT_6.0,-0.8730720665354181
65,CAR_INT_nan,0.0
66,INSTRU_1.0,-0.0
67,INSTRU_2.0,-0.322321515903298
68,INSTRU_3.0,-0.3376714338692391
69,INSTRU_4.0,-0.0
70,INSTRU_nan,0.0
71,CONTRACEP1_1.0,-0.0
72,CONTRACEP1_2.0,-0.0
73,CONTRACEP1_3.0,0.0
74,CONTRACEP1_4.0,0.0
75,CONTRACEP1_5.0,0.0
76,CONTRACEP1_6.0,-0.0
77,CONTRACEP1_7.0,-0.0
78,CONTRACEP1_8.0,-0.6054609095924319
79,CONTRACEP1_9.0,-0.0
80,CONTRACEP1_10.0,-0.0
81,CONTRACEP1_11.0,-0.0
82,CONTRACEP1_12.0,-0.0
83,CONTRACEP1_nan,0.0
84,CONTRACEP2_1.0,-0.0
85,CONTRACEP2_2.0,-0.0
86,CONTRACEP2_3.0,0.0
87,CONTRACEP2_4.0,0.0
88,CONTRACEP2_5.0,0.0
89,CONTRACEP2_6.0,0.0
90,CONTRACEP2_7.0,0.0
91,CONTRACEP2_8.0,0.0
92,CONTRACEP2_9.0,0.0
93,CONTRACEP2_10.0,0.0
94,CONTRACEP2_11.0,0.0
95,CONTRACEP2_12.0,-0.0
96,CONTRACEP2_nan,0.0
97,GESTRISCO_1.0,0.0
98,GESTRISCO_nan,0.0
99,TPDISEC1_1.0,4.027244756731303
100,TPDISEC1_2.0,0.8888761848204725
101,TPDISEC1_nan,0.0
102,TPDISEC2_1.0,3.3975807403366645
103,TPDISEC2_2.0,3.971610642078642
104,TPDISEC2_nan,0.0
105,TPDISEC3_1.0,3.9483342031359427
106,TPDISEC3_2.0,1.5869116344765675
107,TPDISEC3_nan,0.0
108,TPDISEC4_1.0,1.4482925786831529
109,TPDISEC4_2.0,1.5490358876688846
110,TPDISEC4_nan,0.0
111,TPDISEC5_1.0,0.4876792360396325
112,TPDISEC5_2.0,0.3563618762329441
113,TPDISEC5_nan,0.0
114,TPDISEC6_1.0,0.0
115,TPDISEC6_2.0,0.0
116,TPDISEC6_nan,0.0
